Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.7730707079530069,0.7794525294525294,0.9918124308301303,0.006381821499522489,0.9999435092079991,5.6490792000873924e-05,,,,,,,
Caucasian,Hispanic,0.7730707079530069,0.7698961937716263,0.9958936302349545,0.0031745141813805944,0.9999435092079991,5.6490792000873924e-05,,,,,,,
Caucasian,Asian,0.7730707079530069,0.7362637362637363,0.9523886090746722,0.03680697168927061,0.9999435092079991,5.6490792000873924e-05,,,,,,,
Caucasian,Other,0.7730707079530069,0.7738927738927739,0.9989377521440963,0.0008220659397669694,0.9999435092079991,5.6490792000873924e-05,,,,,,,
AfricanAmerican,Hispanic,0.7794525294525294,0.7698961937716263,0.9877396822515732,0.009556335680903083,1.0,0.0,,,,,,,
AfricanAmerican,Asian,0.7794525294525294,0.7362637362637363,0.9445908614612772,0.043188793188793095,1.0,0.0,,,,,,,
AfricanAmerican,Other,0.7794525294525294,0.7738927738927739,0.9928671017801937,0.005559755559755519,1.0,0.0,,,,,,,
Hispanic,Asian,0.7698961937716263,0.7362637362637363,0.9563155945178418,0.03363245750789001,1.0,0.0,,,,,,,
Hispanic,Other,0.7698961937716263,0.7738927738927739,0.9948357443615292,0.003996580121147564,1.0,0.0,,,,,,,
Asian,Other,0.7362637362637363,0.7738927738927739,0.9513769363166954,0.037629037629037576,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.7730707079530069,0.7800340626228219,0.9910730120600104,0.006963354669815014,0.9999435092079991,5.6490792000873924e-05
,,,,,,,,AfricanAmerican,0.7794525294525294,0.7737297035301721,0.9926578903703387,0.005722825922357289,0.9999477997598789,5.220024012109192e-05
,,,,,,,,Hispanic,0.7698961937716263,0.7749065170940171,0.993534286766383,0.0050103233223908195,0.9999569169790186,4.3083020981438125e-05
,,,,,,,,Asian,0.7362637362637363,0.7750428364307368,0.9499652169606679,0.03877910016700048,0.9999574866082817,4.251339171834623e-05
,,,,,,,,Other,0.7738927738927739,0.7748247566526029,0.998797169615675,0.0009319827598289754,0.9999571257074258,4.287429257421316e-05
