Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.4606717037166441,0.4627512127512127,0.9955062051113702,0.002079509034568605,0.9998104265402844,0.00018957345971559736,,,,,,,
Caucasian,Hispanic,0.4606717037166441,0.47750865051903113,0.9647400172036967,0.01683694680238701,0.9998104265402844,0.00018957345971559736,,,,,,,
Caucasian,Asian,0.4606717037166441,0.42857142857142855,0.9303185437997724,0.03210027514521557,0.9998104265402844,0.00018957345971559736,,,,,,,
Caucasian,Other,0.4606717037166441,0.5128205128205128,0.8983098222474561,0.052148809103868654,0.9956638645656914,0.004335313418112441,,,,,,,
AfricanAmerican,Hispanic,0.4627512127512127,0.47750865051903113,0.9690949310514527,0.014757437767818404,1.0,0.0,,,,,,,
AfricanAmerican,Asian,0.4627512127512127,0.42857142857142855,0.9261378830828475,0.03417978417978418,1.0,0.0,,,,,,,
AfricanAmerican,Other,0.4627512127512127,0.5128205128205128,0.9023648648648649,0.05006930006930005,0.995475113122172,0.004524886877828038,,,,,,,
Hispanic,Asian,0.47750865051903113,0.42857142857142855,0.8975155279503105,0.04893722194760258,1.0,0.0,,,,,,,
Hispanic,Other,0.47750865051903113,0.5128205128205128,0.9311418685121108,0.035311862301481645,0.995475113122172,0.004524886877828038,,,,,,,
Asian,Other,0.42857142857142855,0.5128205128205128,0.8357142857142857,0.08424908424908423,0.995475113122172,0.004524886877828038,,,,,,,
,,,,,,,,Caucasian,0.4606717037166441,0.46796803353858246,0.9844084866934896,0.007296329821938341,0.9996299062096602,0.00037002363037952346
,,,,,,,,AfricanAmerican,0.4627512127512127,0.46243638419904676,0.9993196591527136,0.00031482855216596883,0.9996507465292936,0.0003492534707063566
,,,,,,,,Hispanic,0.47750865051903113,0.4622061965811966,0.967953556608448,0.015302453937834526,0.9997111496244945,0.00028885037550552273
,,,,,,,,Asian,0.42857142857142855,0.4626993541584289,0.9262416831139235,0.03412792558700034,0.9997152214153495,0.0002847785846504802
,,,,,,,,Other,0.5128205128205128,0.46177867844922094,0.900468422975981,0.05104183437129184,0.9956899638660113,0.0043091061110870355
