Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
[70-80),[50-60),0.7753881394756935,0.7830819171281268,0.990175002788151,0.007693777652433287,0.999255523690531,0.0007439321016404765,,,,,,,
[70-80),[60-70),0.7753881394756935,0.7908847184986595,0.9804060204218091,0.015496579022965973,0.9987131198995606,0.0012866377957697628,,,,,,,
[70-80),[30-40),0.7753881394756935,0.7484499557130204,0.9652584526494198,0.026938183762673096,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[80-90),0.7753881394756935,0.7564796905222437,0.9756142143646466,0.018908448953449786,0.9987803857058489,0.0012193025318059103,,,,,,,
[70-80),[40-50),0.7753881394756935,0.7700176366843033,0.9930737877999763,0.005370502791390175,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[90-100),0.7753881394756935,0.6990291262135923,0.9015215614289198,0.07635901326210126,0.9997414426476273,0.0002581759993456334,,,,,,,
[70-80),[20-30),0.7753881394756935,0.7808219178082192,0.9930409505565899,0.005433778332525674,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[10-20),0.7753881394756935,0.8985507246376812,0.8629319616745621,0.12316258516198764,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[0-10),0.7753881394756935,0.8222222222222222,0.9430396290920597,0.04683408274652867,0.9985250737463127,0.001474926253687281,,,,,,,
[50-60),[60-70),0.7830819171281268,0.7908847184986595,0.9901340850467502,0.007802801370532686,0.9994571921014086,0.0005427056941292863,,,,,,,
[50-60),[30-40),0.7830819171281268,0.7484499557130204,0.9557747910434254,0.03463196141510638,0.9992690058479532,0.0007309941520468044,,,,,,,
[50-60),[80-90),0.7830819171281268,0.7564796905222437,0.9660288074286736,0.026602226605883073,0.9995245080228057,0.0004753704301654338,,,,,,,
[50-60),[40-50),0.7830819171281268,0.7700176366843033,0.9833168406036812,0.013064280443823462,0.9992690058479532,0.0007309941520468044,,,,,,,
[50-60),[90-100),0.7830819171281268,0.6990291262135923,0.8926641146014588,0.08405279091453455,0.9989971588279817,0.00100210810098611,,,,,,,
[50-60),[20-30),0.7830819171281268,0.7808219178082192,0.9971139681935245,0.002259999319907613,0.9992690058479532,0.0007309941520468044,,,,,,,
[50-60),[10-20),0.7830819171281268,0.8985507246376812,0.8714943916425928,0.11546880750955435,0.9992690058479532,0.0007309941520468044,,,,,,,
[50-60),[0-10),0.7830819171281268,0.8222222222222222,0.952396926236911,0.039140305094095384,0.9992690058479532,0.0007309941520468044,,,,,,,
[60-70),[30-40),0.7908847184986595,0.7484499557130204,0.946345198240531,0.04243476278563907,0.9998117115420825,0.00018828845791751814,,,,,,,
[60-70),[80-90),0.7908847184986595,0.7564796905222437,0.956498049372193,0.03440502797641576,0.9999326520551954,6.733526396385248e-05,,,,,,,
[60-70),[40-50),0.7908847184986595,0.7700176366843033,0.973615520282187,0.020867081814356148,0.9998117115420825,0.00018828845791751814,,,,,,,
[60-70),[90-100),0.7908847184986595,0.6990291262135923,0.8838571663649828,0.09185559228506723,0.9984548952794995,0.0015448137951153962,,,,,,,
[60-70),[20-30),0.7908847184986595,0.7808219178082192,0.9872765265846297,0.010062800690440299,0.9998117115420825,0.00018828845791751814,,,,,,,
