Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
[70-80),[50-60),0.4508780860269789,0.4746992552988352,0.9498183976360773,0.023821169271856346,0.9983460942692426,0.0016459606271669314,,,,,,,
[70-80),[60-70),0.4508780860269789,0.484361036639857,0.9308719156165856,0.03348295061287815,0.9959943542228468,0.003995815971565175,,,,,,,
[70-80),[30-40),0.4508780860269789,0.4446412754650133,0.9861674125329027,0.006236810561965567,0.9955293799563384,0.004461732131049945,,,,,,,
[70-80),[80-90),0.4508780860269789,0.4266924564796905,0.9463588267054496,0.024185629547288368,0.9989548211195795,0.0010395241705174474,,,,,,,
[70-80),[40-50),0.4508780860269789,0.49770723104056436,0.9059102578926188,0.04682914501358548,0.9956626347029767,0.0043281629661243715,,,,,,,
[70-80),[90-100),0.4508780860269789,0.375,0.8317104149026249,0.07587808602697887,0.9873204037471607,0.01259781534599258,,,,,,,
[70-80),[20-30),0.4508780860269789,0.5048923679060665,0.8930182246503342,0.05401428187908763,0.9935501962983735,0.006449803701626511,,,,,,,
[70-80),[10-20),0.4508780860269789,0.42028985507246375,0.9321585326444878,0.030588230954515128,0.9935501962983735,0.006449803701626511,,,,,,,
[70-80),[0-10),0.4508780860269789,0.1111111111111111,0.24643271552670365,0.33976697491586777,0.9935501962983735,0.006449803701626511,,,,,,,
[50-60),[60-70),0.4746992552988352,0.484361036639857,0.9800525215487023,0.009661781341021802,0.9976443639536475,0.002349855344398244,,,,,,,
[50-60),[30-40),0.4746992552988352,0.4446412754650133,0.9366799515729182,0.030057979833821913,0.9971786193895356,0.0028157715038830133,,,,,,,
[50-60),[80-90),0.4746992552988352,0.4266924564796905,0.8988690243701284,0.048006798819144714,0.9993906362555469,0.000606436456649484,,,,,,,
[50-60),[40-50),0.4746992552988352,0.49770723104056436,0.9537720685841232,0.023007975741729136,0.9973120948920724,0.00268220233895744,,,,,,,
[50-60),[90-100),0.4746992552988352,0.375,0.7899738535800482,0.09969925529883522,0.9856874688733096,0.014243775973159511,,,,,,,
[50-60),[20-30),0.4746992552988352,0.5048923679060665,0.9401989126267628,0.030193112607231287,0.9951961569255404,0.0048038430744595795,,,,,,,
[50-60),[10-20),0.4746992552988352,0.42028985507246375,0.8853813238191844,0.054409400226371474,0.9951961569255404,0.0048038430744595795,,,,,,,
[50-60),[0-10),0.4746992552988352,0.1111111111111111,0.23406632698668095,0.3635881441877241,0.9951961569255404,0.0048038430744595795,,,,,,,
[60-70),[30-40),0.484361036639857,0.4446412754650133,0.9179955484231548,0.039719761174843715,0.9995331557206756,0.0004659161594847694,,,,,,,
[60-70),[80-90),0.484361036639857,0.4266924564796905,0.8809388538759662,0.057668580160166516,0.9970364356483962,0.002956291801047728,,,,,,,
[60-70),[40-50),0.484361036639857,0.49770723104056436,0.9731846483869558,0.013346194400707334,0.9996669463853248,0.00033234699455919614,,,,,,,
[60-70),[90-100),0.484361036639857,0.375,0.7742158671586715,0.10936103663985702,0.9833655479411937,0.016593631317557755,,,,,,,
[60-70),[20-30),0.484361036639857,0.5048923679060665,0.9593352314843681,0.020531331266209485,0.9975460122699387,0.0024539877300613355,,,,,,,
[60-70),[10-20),0.484361036639857,0.42028985507246375,0.8677201989411197,0.06407118156739328,0.9975460122699387,0.0024539877300613355,,,,,,,
[60-70),[0-10),0.484361036639857,0.1111111111111111,0.2293972939729397,0.3732499255287459,0.9975460122699387,0.0024539877300613355,,,,,,,
[30-40),[80-90),0.4446412754650133,0.4266924564796905,0.95963303459277,0.0179488189853228,0.9965709748921358,0.0034222079605324973,,,,,,,
[30-40),[40-50),0.4446412754650133,0.49770723104056436,0.8933791750129786,0.05306595557555105,0.9998661647610407,0.00013356916492557325,,,,,,,
[30-40),[90-100),0.4446412754650133,0.375,0.8433764940239044,0.06964127546501331,0.9829064693606526,0.017059547477042525,,,,,,,
[30-40),[20-30),0.4446412754650133,0.5048923679060665,0.8806654719481466,0.0602510924410532,0.9980119284294234,0.001988071570576566,,,,,,,
[30-40),[10-20),0.4446412754650133,0.42028985507246375,0.9452335585195449,0.02435142039254956,0.9980119284294234,0.001988071570576566,,,,,,,
[30-40),[0-10),0.4446412754650133,0.1111111111111111,0.24988933156263832,0.3335301643539022,0.9980119284294234,0.001988071570576566,,,,,,,
[80-90),[40-50),0.4266924564796905,0.49770723104056436,0.8573161687596901,0.07101477456087385,0.9967043690595406,0.003288638795606924,,,,,,,
[80-90),[90-100),0.4266924564796905,0.375,0.8788531278331823,0.05169245647969051,0.9862884773129559,0.013637339516510028,,,,,,,
[80-90),[20-30),0.4266924564796905,0.5048923679060665,0.8451156793066739,0.078199911426376,0.9945897204688909,0.0054102795311090635,,,,,,,
[80-90),[10-20),0.4266924564796905,0.42028985507246375,0.984994809938639,0.00640260140722676,0.9945897204688909,0.0054102795311090635,,,,,,,
[80-90),[0-10),0.4266924564796905,0.1111111111111111,0.26040092676538734,0.3155813453685794,0.9945897204688909,0.0054102795311090635,,,,,,,
[40-50),[90-100),0.49770723104056436,0.375,0.7534549964564139,0.12270723104056436,0.9830380344909048,0.01692597831211695,,,,,,,
[40-50),[20-30),0.49770723104056436,0.5048923679060665,0.9857689731074745,0.007185136865502151,0.9978783592644979,0.0021216407355021394,,,,,,,
[40-50),[10-20),0.49770723104056436,0.42028985507246375,0.844451976704773,0.07741737596810061,0.9978783592644979,0.0021216407355021394,,,,,,,
[40-50),[0-10),0.49770723104056436,0.1111111111111111,0.22324592487597447,0.38659611992945325,0.9978783592644979,0.0021216407355021394,,,,,,,
