Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.7725466218281871,0.7791060291060291,0.9915808541677331,0.006559407277841989,0.9997100340334096,0.00028983706418250765,,,,,,,
Caucasian,Hispanic,0.7725466218281871,0.7698961937716263,0.9965692322227897,0.002650428056560794,0.9992656197039882,0.0007343802960118051,,,,,,,
Caucasian,Asian,0.7725466218281871,0.7362637362637363,0.9530346977913262,0.036282885564450806,0.9992656197039882,0.0007343802960118051,,,,,,,
Caucasian,Other,0.7725466218281871,0.7738927738927739,0.9982605444707598,0.0013461520645867697,0.9992656197039882,0.0007343802960118051,,,,,,,
AfricanAmerican,Hispanic,0.7791060291060291,0.7698961937716263,0.9881789705247559,0.009209835334402783,0.9995554567681707,0.00044454323182929745,,,,,,,
AfricanAmerican,Asian,0.7791060291060291,0.7362637362637363,0.9450109596874107,0.042842292842292795,0.9995554567681707,0.00044454323182929745,,,,,,,
AfricanAmerican,Other,0.7791060291060291,0.7738927738927739,0.9933086704267491,0.005213255213255219,0.9995554567681707,0.00044454323182929745,,,,,,,
Hispanic,Asian,0.7698961937716263,0.7362637362637363,0.9563155945178418,0.03363245750789001,1.0,0.0,,,,,,,
Hispanic,Other,0.7698961937716263,0.7738927738927739,0.9948357443615292,0.003996580121147564,1.0,0.0,,,,,,,
Asian,Other,0.7362637362637363,0.7738927738927739,0.9513769363166954,0.037629037629037576,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.7725466218281871,0.7797720424472684,0.9907339321933052,0.007225420619081269,0.9996013944417919,0.0003984716631599827
,,,,,,,,AfricanAmerican,0.7791060291060291,0.7732450117133856,0.9924772531931646,0.005861017392643553,0.99976583601424,0.00023405988974500858
,,,,,,,,Hispanic,0.7698961937716263,0.7744391025641025,0.994133936706663,0.004542908792476208,0.9993537546852785,0.0006462453147214609
,,,,,,,,Asian,0.7362637362637363,0.7745815210228022,0.9505309851589683,0.03831778475906589,0.9993622991242241,0.0006377008757758595
,,,,,,,,Other,0.7738927738927739,0.7743596558253879,0.999397073531528,0.0004668819326140161,0.9993568856113874,0.0006431143886126423
