Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.45875005459230467,0.46032571032571035,0.9965770850985256,0.0015756557334056787,0.9991148475501872,0.000881293017330198,,,,,,,
Caucasian,Hispanic,0.45875005459230467,0.47231833910034604,0.9712730093566011,0.013568284508041373,0.9934621179509255,0.006509375643931614,,,,,,,
Caucasian,Asian,0.45875005459230467,0.42857142857142855,0.9342155369383092,0.03017862602087612,0.9956398104265403,0.0043601895734597385,,,,,,,
Caucasian,Other,0.45875005459230467,0.5151515151515151,0.8905148118556503,0.05640146055921047,0.9956398104265403,0.0043601895734597385,,,,,,,
AfricanAmerican,Hispanic,0.46032571032571035,0.47231833910034604,0.9746090130705516,0.011992628774635694,0.9943422624404771,0.005628082626601416,,,,,,,
AfricanAmerican,Asian,0.46032571032571035,0.42857142857142855,0.931017796655734,0.0317542817542818,0.9947585174092101,0.0052414825907899365,,,,,,,
AfricanAmerican,Other,0.46032571032571035,0.5151515151515151,0.8935734376910848,0.05482580482580479,0.9947585174092101,0.0052414825907899365,,,,,,,
Hispanic,Asian,0.47231833910034604,0.42857142857142855,0.9073783359497645,0.04374691052891749,0.9891304347826086,0.010869565217391353,,,,,,,
Hispanic,Other,0.47231833910034604,0.5151515151515151,0.9168532464889071,0.0428331760511691,0.9891304347826086,0.010869565217391353,,,,,,,
Asian,Other,0.42857142857142855,0.5151515151515151,0.8319327731092436,0.08658008658008659,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.45875005459230467,0.46574086204637755,0.9849899203102845,0.006990807454072878,0.9990398306973739,0.0009559827824440204
,,,,,,,,AfricanAmerican,0.46032571032571035,0.460538007916633,0.9995390226490034,0.00021229759092267209,0.9992079722757132,0.0007885008392838344
,,,,,,,,Hispanic,0.47231833910034604,0.46026976495726496,0.9744905646347953,0.012048574143081081,0.9935788670295637,0.00639238439705625
,,,,,,,,Asian,0.42857142857142855,0.4606893370238566,0.9302829350036272,0.03211790845242807,0.9953723479994304,0.004627652000569582
,,,,,,,,Other,0.5151515151515151,0.4597189462144115,0.8923956014750342,0.05543256893710363,0.9953247500539452,0.004675249946054838
