Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
[70-80),[50-60),0.4524051921608552,0.47603589841512317,0.9503594028665858,0.023630706254267997,0.998914740296948,0.0010830874458400697,,,,,,,
[70-80),[60-70),0.4524051921608552,0.48495680667262436,0.9328772912063825,0.03255161451176919,0.9981400229577458,0.0018576948618341804,,,,,,,
[70-80),[30-40),0.4524051921608552,0.4455270150575731,0.9847964231567958,0.00687817710328209,0.9969153112731352,0.003084688726864848,,,,,,,
[70-80),[80-90),0.4524051921608552,0.42823984526112185,0.9465847268809833,0.02416534689973332,0.9987164229466187,0.0012812622164951604,,,,,,,
[70-80),[40-50),0.4524051921608552,0.4980599647266314,0.9083347873767879,0.045654772565776214,0.9983273726205476,0.001670261569863385,,,,,,,
[70-80),[90-100),0.4524051921608552,0.3774271844660194,0.834268021247252,0.07497800769483576,0.9903565289219298,0.009613723971547805,,,,,,,
[70-80),[20-30),0.4524051921608552,0.5048923679060665,0.8960428418379729,0.052487175745211334,0.9969153112731352,0.003084688726864848,,,,,,,
[70-80),[10-20),0.4524051921608552,0.42028985507246375,0.9290120059520169,0.03211533708839143,0.9969153112731352,0.003084688726864848,,,,,,,
[70-80),[0-10),0.4524051921608552,0.1111111111111111,0.24560087513674012,0.34129408104974407,0.9969153112731352,0.003084688726864848,,,,,,,
[50-60),[60-70),0.47603589841512317,0.48495680667262436,0.9816047364739364,0.008920908257501192,0.9992244409778437,0.0007746074159941108,,,,,,,
[50-60),[30-40),0.47603589841512317,0.4455270150575731,0.9359105406564421,0.030508883357550087,0.9979983987189752,0.0020016012810247785,,,,,,,
[50-60),[80-90),0.47603589841512317,0.42823984526112185,0.8995956958012415,0.04779605315400132,0.9998014671900122,0.0001981747706550907,,,,,,,
[50-60),[40-50),0.47603589841512317,0.4980599647266314,0.9557802917895709,0.022024066311508217,0.9994119941845829,0.0005871741240233153,,,,,,,
[50-60),[90-100),0.47603589841512317,0.3774271844660194,0.7928544585032264,0.09860871394910375,0.9892817348894365,0.010696811417387875,,,,,,,
[50-60),[20-30),0.47603589841512317,0.5048923679060665,0.9428462949229766,0.028856469490943337,0.9979983987189752,0.0020016012810247785,,,,,,,
[50-60),[10-20),0.47603589841512317,0.42028985507246375,0.8828952952324479,0.055746043342659424,0.9979983987189752,0.0020016012810247785,,,,,,,
[50-60),[0-10),0.47603589841512317,0.1111111111111111,0.23340910103846324,0.36492478730401207,0.9979983987189752,0.0020016012810247785,,,,,,,
[60-70),[30-40),0.48495680667262436,0.4455270150575731,0.9186942196242462,0.03942979161505128,0.9987730061349693,0.0012269938650306678,,,,,,,
[60-70),[80-90),0.48495680667262436,0.42823984526112185,0.8830473959100652,0.05671696141150251,0.999422859206448,0.0005764326453390201,,,,,,,
[60-70),[40-50),0.48495680667262436,0.4980599647266314,0.9736916054652196,0.013103158054007025,0.9998123364459998,0.0001874332919707955,,,,,,,
[60-70),[90-100),0.48495680667262436,0.3774271844660194,0.7782696918012452,0.10752962220660495,0.9885144885144885,0.011471418833381986,,,,,,,
[60-70),[20-30),0.48495680667262436,0.5048923679060665,0.9605152256190351,0.019935561233442145,0.9987730061349693,0.0012269938650306678,,,,,,,
[60-70),[10-20),0.48495680667262436,0.42028985507246375,0.8666542036107253,0.06466695160016062,0.9987730061349693,0.0012269938650306678,,,,,,,
