Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.772896012578067,0.7792792792792793,0.9918087560250338,0.0063832667012123645,0.9999398042761093,6.018234408988743e-05,,,,,,,
Caucasian,Hispanic,0.772896012578067,0.7698961937716263,0.9961187290947013,0.002999818806440624,0.9997175460399955,0.00028245396000448064,,,,,,,
Caucasian,Asian,0.772896012578067,0.7362637362637363,0.9526038746245562,0.036632276314330636,0.9997175460399955,0.00028245396000448064,,,,,,,
Caucasian,Other,0.772896012578067,0.7738927738927739,0.9987120162529841,0.0009967613147069398,0.9997175460399955,0.00028245396000448064,,,,,,,
AfricanAmerican,Hispanic,0.7792792792792793,0.7698961937716263,0.9879592775566534,0.009383085507652988,0.9997777283840854,0.0002222716159145932,,,,,,,
AfricanAmerican,Asian,0.7792792792792793,0.7362637362637363,0.9448008638760084,0.043015543015543,0.9997777283840854,0.0002222716159145932,,,,,,,
AfricanAmerican,Other,0.7792792792792793,0.7738927738927739,0.9930878370184728,0.005386505386505425,0.9997777283840854,0.0002222716159145932,,,,,,,
Hispanic,Asian,0.7698961937716263,0.7362637362637363,0.9563155945178418,0.03363245750789001,1.0,0.0,,,,,,,
Hispanic,Other,0.7698961937716263,0.7738927738927739,0.9948357443615292,0.003996580121147564,1.0,0.0,,,,,,,
Asian,Other,0.7362637362637363,0.7738927738927739,0.9513769363166954,0.037629037629037576,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.772896012578067,0.7797720424472684,0.9911820000014089,0.006876029869201439,0.9999465302244028,5.345467284734173e-05
,,,,,,,,AfricanAmerican,0.7792792792792793,0.7735277486065111,0.9926194230673148,0.005751530672768235,0.9999090499595755,9.092982481206935e-05
,,,,,,,,Hispanic,0.7698961937716263,0.7747061965811965,0.9937911909949902,0.004810002809570224,0.9996984188531299,0.0003015811468700669
,,,,,,,,Asian,0.7362637362637363,0.7748451298273362,0.9502076065546192,0.03858139356359991,0.9997024062579712,0.00029759374202875666
,,,,,,,,Other,0.7738927738927739,0.7746254277266535,0.9990541830830033,0.0007326538338796595,0.9996998799519808,0.00030012004801915904
