Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.4599292483731493,0.46136521136521136,0.9968875785241524,0.0014359629920620565,0.998803660413048,0.001194185041724305,,,,,,,
Caucasian,Hispanic,0.4599292483731493,0.47750865051903113,0.9631851650713055,0.01757940214588183,0.9981990521327014,0.0018009478672985635,,,,,,,
Caucasian,Asian,0.4599292483731493,0.42857142857142855,0.9318203399487228,0.031357819801720754,0.9981990521327014,0.0018009478672985635,,,,,,,
Caucasian,Other,0.4599292483731493,0.5151515151515151,0.8928038350772899,0.055222266778365836,0.9981990521327014,0.0018009478672985635,,,,,,,
AfricanAmerican,Hispanic,0.46136521136521136,0.47750865051903113,0.9661923629314934,0.016143439153819772,0.9970048670909771,0.0029951329090228684,,,,,,,
AfricanAmerican,Asian,0.46136521136521136,0.42857142857142855,0.9289201223110348,0.03279378279378281,0.9970048670909771,0.0029951329090228684,,,,,,,
AfricanAmerican,Other,0.46136521136521136,0.5151515151515151,0.8955912926501162,0.05378630378630378,0.9970048670909771,0.0029951329090228684,,,,,,,
Hispanic,Asian,0.47750865051903113,0.42857142857142855,0.8975155279503105,0.04893722194760258,1.0,0.0,,,,,,,
Hispanic,Other,0.47750865051903113,0.5151515151515151,0.926928556889884,0.03764286463248401,1.0,0.0,,,,,,,
Asian,Other,0.42857142857142855,0.5151515151515151,0.8319327731092436,0.08658008658008659,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.4599292483731493,0.4667889427485916,0.9853045054258346,0.006859694375442316,0.9987208602076943,0.001276836128224712
,,,,,,,,AfricanAmerican,0.46136521136521136,0.461709346473867,0.9992546498976382,0.0003441351086556632,0.9989236937094708,0.0010742388201379072
,,,,,,,,Hispanic,0.47750865051903113,0.461338141025641,0.9661356721479004,0.016170509493390106,0.9978336221837089,0.002166377816291143
,,,,,,,,Asian,0.42857142857142855,0.46184262554369315,0.9279598825831702,0.033271196972264605,0.9978641606151217,0.0021358393848782686
,,,,,,,,Other,0.5151515151515151,0.46088169828244907,0.8946527084306365,0.05426981686906607,0.9978421923325901,0.0021578076674099167
