Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
[70-80),[50-60),0.4536777806057521,0.47679969448157344,0.9515060220393767,0.023121913875821354,0.9602319243268915,0.024196122065241688,,,,,,,
[70-80),[60-70),0.4536777806057521,0.4855525767053917,0.9343535641064478,0.03187479609963961,0.9518007271074757,0.029585695656115463,,,,,,,
[70-80),[30-40),0.4536777806057521,0.4455270150575731,0.9820340208478007,0.008150765548179006,0.9814677976063645,0.011031595034317943,,,,,,,
[70-80),[80-90),0.4536777806057521,0.4290135396518375,0.9456348932914836,0.024664240953914562,0.9704549170101273,0.01726126202210687,,,,,,,
[70-80),[40-50),0.4536777806057521,0.49876543209876545,0.9096014908184633,0.04508765149301336,0.9019690949288777,0.06349780108592162,,,,,,,
[70-80),[90-100),0.4536777806057521,0.38228155339805825,0.8426278952600117,0.07139622720769384,0.9344313698799952,0.03830746744965863,,,,,,,
[70-80),[20-30),0.4536777806057521,0.5048923679060665,0.8985633561610051,0.05121458730031442,0.9035257216467343,0.06238186419835223,,,,,,,
[70-80),[10-20),0.4536777806057521,0.42028985507246375,0.9264060816716466,0.03338792553328834,0.8006062525449033,0.11649274167116025,,,,,,,
[70-80),[0-10),0.4536777806057521,0.1111111111111111,0.24491195262583762,0.342566669494641,0.23130283158333648,0.44909954201989605,,,,,,,
[50-60),[60-70),0.47679969448157344,0.4855525767053917,0.9819733585120504,0.008752882223818259,0.9912196241284875,0.005389573590873775,,,,,,,
[50-60),[30-40),0.47679969448157344,0.4455270150575731,0.9344112846842251,0.03127267942400036,0.9783631482038803,0.013164527030923745,,,,,,,
[50-60),[80-90),0.47679969448157344,0.4290135396518375,0.89977729561741,0.047786154829735916,0.9318617924331284,0.04145738408734856,,,,,,,
[50-60),[40-50),0.47679969448157344,0.49876543209876545,0.9559597834902833,0.021965737617192005,0.9393242112431794,0.039301679020679936,,,,,,,
[50-60),[90-100),0.47679969448157344,0.38228155339805825,0.8017655166782663,0.0945181410835152,0.8972708324512811,0.06250358951490032,,,,,,,
[50-60),[20-30),0.47679969448157344,0.5048923679060665,0.9443590848065273,0.028092673424493064,0.9409453057708872,0.038185742133110545,,,,,,,
[50-60),[10-20),0.47679969448157344,0.42028985507246375,0.8814809655644744,0.0565098394091097,0.7687676825093338,0.14068886373640194,,,,,,,
[50-60),[0-10),0.47679969448157344,0.1111111111111111,0.23303519779290702,0.36568858337046234,0.2221043630735261,0.47329566408513774,,,,,,,
[60-70),[30-40),0.4855525767053917,0.4455270150575731,0.9175669874529282,0.04002556164781862,0.969772752023814,0.01855410062179752,,,,,,,
[60-70),[80-90),0.4855525767053917,0.4290135396518375,0.8835573328903181,0.056539037053554175,0.9236796956352642,0.046846957678222334,,,,,,,
[60-70),[40-50),0.4855525767053917,0.49876543209876545,0.9735088790380377,0.013212855393373746,0.9476448895662893,0.03391210542980616,,,,,,,
[60-70),[90-100),0.4855525767053917,0.38228155339805825,0.7873123771517065,0.10327102330733345,0.889392457283814,0.06789316310577409,,,,,,,
[60-70),[20-30),0.4855525767053917,0.5048923679060665,0.9616952197537022,0.019339791200674805,0.9492803439986338,0.03279616854223677,,,,,,,
[60-70),[10-20),0.4855525767053917,0.42028985507246375,0.8655908242197919,0.06526272163292796,0.7620176132990303,0.1460784373272757,,,,,,,
[60-70),[0-10),0.4855525767053917,0.1111111111111111,0.22883435582822084,0.3744414655942806,0.22015420328303767,0.4786852376760115,,,,,,,
[30-40),[80-90),0.4455270150575731,0.4290135396518375,0.9629349627573053,0.016513475405735556,0.9524702500741968,0.028292857056424814,,,,,,,
[30-40),[40-50),0.4455270150575731,0.49876543209876545,0.8932596093976094,0.053238417041192365,0.9190001924960036,0.05246620605160368,,,,,,,
[30-40),[90-100),0.4455270150575731,0.38228155339805825,0.8580434866528981,0.06324546165951483,0.917114298610417,0.04933906248397657,,,,,,,
[30-40),[20-30),0.4455270150575731,0.5048923679060665,0.8824197856372863,0.059365352848493425,0.9205862116416679,0.05135026916403429,,,,,,,
[30-40),[10-20),0.4455270150575731,0.42028985507246375,0.9433543665542974,0.025237159985109336,0.7857692554351311,0.1275243367054782,,,,,,,
[30-40),[0-10),0.4455270150575731,0.1111111111111111,0.24939253368676825,0.334415903946462,0.22701628069421312,0.460131137054214,,,,,,,
[80-90),[40-50),0.4290135396518375,0.49876543209876545,0.860150908707892,0.06975189244692792,0.8753203431649037,0.0807590631080285,,,,,,,
[80-90),[90-100),0.4290135396518375,0.38228155339805825,0.8910710690117047,0.04673198625377928,0.9628797314551025,0.021046205427551756,,,,,,,
[80-90),[20-30),0.4290135396518375,0.5048923679060665,0.8497128634189496,0.07587882825422898,0.876830979217197,0.0796431262204591,,,,,,,
[80-90),[10-20),0.4290135396518375,0.42028985507246375,0.9796657126801792,0.00872368457937378,0.8249803659210564,0.09923147964905338,,,,,,,
[80-90),[0-10),0.4290135396518375,0.1111111111111111,0.25899208496142667,0.3179024285407264,0.23834474691102286,0.4318382799977892,,,,,,,
[40-50),[90-100),0.49876543209876545,0.38228155339805825,0.7664555897337306,0.1164838787007072,0.8428282169638107,0.10180526853558025,,,,,,,
[40-50),[20-30),0.49876543209876545,0.5048923679060665,0.9878648674514309,0.006126935807301059,0.9982771639140283,0.001115936887569391,,,,,,,
[40-50),[10-20),0.49876543209876545,0.42028985507246375,0.8426603529918208,0.0784755770263017,0.7221220970023269,0.17999054275708187,,,,,,,
[40-50),[0-10),0.49876543209876545,0.1111111111111111,0.22277227722772275,0.38765432098765434,0.20862800565770864,0.5125973431058177,,,,,,,
[90-100),[20-30),0.38228155339805825,0.5048923679060665,0.7571545495597201,0.12261081450800826,0.8442827778001692,0.10068933164801086,,,,,,,
[90-100),[10-20),0.38228155339805825,0.42028985507246375,0.9095664546367593,0.0380083016744055,0.856784434203789,0.07818527422150162,,,,,,,
[90-100),[0-10),0.38228155339805825,0.1111111111111111,0.29065255731922396,0.27117044228694714,0.24753324753324757,0.4107920745702374,,,,,,,
[20-30),[10-20),0.5048923679060665,0.42028985507246375,0.832434557914841,0.08460251283360276,0.7233683420855214,0.17887460586951248,,,,,,,
[20-30),[0-10),0.5048923679060665,0.1111111111111111,0.22006890611541774,0.3937812567949554,0.20898805782526714,0.5114814062182482,,,,,,,
[10-20),[0-10),0.42028985507246375,0.1111111111111111,0.26436781609195403,0.30917874396135264,0.2889095992544269,0.3326068003487358,,,,,,,
,,,,,,,,[70-80),0.4536777806057521,0.4656404375441073,0.9743092395466146,0.011962656938355187,0.9714554819342064,0.017166712841550802
,,,,,,,,[50-60),0.47679969448157344,0.4596133317518681,0.9639547530574822,0.017186362729705362,0.9772160307590059,0.01386246861470819
,,,,,,,,[60-70),0.4855525767053917,0.45607994625461873,0.9393008463661074,0.029472630450772974,0.9646078318259268,0.02172443386320444
,,,,,,,,[30-40),0.4455270150575731,0.46321553688650047,0.9618136257954113,0.017688521828927384,0.9970349463918969,0.0017702452802926816
,,,,,,,,[80-90),0.4290135396518375,0.4694006309148265,0.9139602961668851,0.04038709126298895,0.9403833256371351,0.0359439268443853
,,,,,,,,[40-50),0.49876543209876545,0.458855389059397,0.9199823394507711,0.03991004303936846,0.913668828279532,0.05591950380794397
,,,,,,,,[90-100),0.38228155339805825,0.4647882582643237,0.8224853932963511,0.08250670486626543,0.912541035184348,0.05232228117378168
,,,,,,,,[20-30),0.5048923679060665,0.461840834138379,0.9147312645143864,0.0430515337676875,0.9219089826418853,0.05049494355487116
,,,,,,,,[10-20),0.42028985507246375,0.462849981861953,0.9080476861676037,0.04256012678948923,0.7821804934667939,0.13025550806108005
,,,,,,,,[0-10),0.1111111111111111,0.46308020337871086,0.23993923795581368,0.35196909226759976,0.22609313287219363,0.4625616344148034
