Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.46040966065423417,0.47435897435897434,0.9705933386764937,0.013949313704740174,0.0,0.021605933569816188,,,,,,,
Caucasian,Hispanic,0.46040966065423417,0.4429065743944637,0.9619836685553059,0.017503086259770484,0.9282401106409421,0.0717054742770794,,,,,,,
Caucasian,Asian,0.46040966065423417,0.45054945054945056,0.9785838331655066,0.009860210104783607,0.0,0.038461538461538464,,,,,,,
Caucasian,Other,0.46040966065423417,0.44755244755244755,0.9720744063373545,0.012857213101786613,0.8694375696953621,0.13046342561815094,,,,,,,
AfricanAmerican,Hispanic,0.47435897435897434,0.4429065743944637,0.933694940615356,0.03145239996451066,0.0,0.07246376811594202,,,,,,,
AfricanAmerican,Asian,0.47435897435897434,0.45054945054945056,0.9498069498069499,0.02380952380952378,0.5617542728152208,0.016855604891722276,,,,,,,
AfricanAmerican,Other,0.47435897435897434,0.44755244755244755,0.9434889434889435,0.026806526806526787,0.0,0.13122171945701355,,,,,,,
Hispanic,Asian,0.4429065743944637,0.45054945054945056,0.9830365431681999,0.007642876154986877,0.0,0.07246376811594202,,,,,,,
Hispanic,Other,0.4429065743944637,0.44755244755244755,0.9896193771626298,0.004645873157983871,0.9366515837104072,0.058757951341071535,,,,,,,
Asian,Other,0.45054945054945056,0.44755244755244755,0.9933481152993348,0.0029970029970030065,0.0,0.13122171945701355,,,,,,,
,,,,,,,,Caucasian,0.46040966065423417,0.4709812655574479,0.977554086167947,0.010571604903213738,0.0,0.0174919931017492
,,,,,,,,AfricanAmerican,0.47435897435897434,0.4604168349624364,0.9706084628937849,0.013942139396537934,0.013914643243758658,0.021305294712243846
,,,,,,,,Hispanic,0.4429065743944637,0.4634415064102564,0.9556903476884213,0.020534932015792706,0.0,0.06971968954863983
,,,,,,,,Asian,0.45054945054945056,0.46312771846579676,0.9728406065652597,0.012578267916346197,0.10685805422647528,0.034351613298981724
,,,,,,,,Other,0.44755244755244755,0.46327364539384075,0.9660649855701845,0.015721197841393197,0.0,0.12913583871185064
