Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.46040966065423417,0.47435897435897434,0.9705933386764937,0.013949313704740174,0.0,0.02199528672427337,,,,,,,
Caucasian,Hispanic,0.46040966065423417,0.4429065743944637,0.9619836685553059,0.017503086259770484,0.9660047876977911,0.020245030397123887,,,,,,,
Caucasian,Asian,0.46040966065423417,0.45054945054945056,0.9785838331655066,0.009860210104783607,0.9731765185689367,0.016414369233934245,,,,,,,
Caucasian,Other,0.46040966065423417,0.44755244755244755,0.9720744063373545,0.012857213101786613,0.9710966804040293,0.017212676261480264,,,,,,,
AfricanAmerican,Hispanic,0.47435897435897434,0.4429065743944637,0.933694940615356,0.03145239996451066,0.0,0.02707518025229072,,,,,,,
AfricanAmerican,Asian,0.47435897435897434,0.45054945054945056,0.9498069498069499,0.02380952380952378,0.0,0.02199528672427337,,,,,,,
AfricanAmerican,Other,0.47435897435897434,0.44755244755244755,0.9434889434889435,0.026806526806526787,0.0,0.024042826116647098,,,,,,,
Hispanic,Asian,0.4429065743944637,0.45054945054945056,0.9830365431681999,0.007642876154986877,0.9400931762126611,0.03665939963105813,,,,,,,
Hispanic,Other,0.4429065743944637,0.44755244755244755,0.9896193771626298,0.004645873157983871,0.9947565543071162,0.0030323541356436223,,,,,,,
Asian,Other,0.45054945054945056,0.44755244755244755,0.9933481152993348,0.0029970029970030065,0.9450484866294446,0.03362704549541451,,,,,,,
,,,,,,,,Caucasian,0.46040966065423417,0.4709812655574479,0.977554086167947,0.010571604903213738,0.0,0.016676593210244194
,,,,,,,,AfricanAmerican,0.47435897435897434,0.4604168349624364,0.9706084628937849,0.013942139396537934,0.0,0.02199528672427337
,,,,,,,,Hispanic,0.4429065743944637,0.4634415064102564,0.9556903476884213,0.020534932015792706,0.0,0.021548190779362097
,,,,,,,,Asian,0.45054945054945056,0.46312771846579676,0.9728406065652597,0.012578267916346197,0.0,0.015604952873587985
,,,,,,,,Other,0.44755244755244755,0.46327364539384075,0.9660649855701845,0.015721197841393197,0.0,0.01836827674271091
