Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.4606717037166441,0.4627512127512127,0.9955062051113702,0.002079509034568605,0.9998104265402844,0.00018957345971559736,,,,,,,
Caucasian,Hispanic,0.4606717037166441,0.47750865051903113,0.9647400172036967,0.01683694680238701,0.9998104265402844,0.00018957345971559736,,,,,,,
Caucasian,Asian,0.4606717037166441,0.42857142857142855,0.9303185437997724,0.03210027514521557,0.9998104265402844,0.00018957345971559736,,,,,,,
Caucasian,Other,0.4606717037166441,0.5128205128205128,0.8983098222474561,0.052148809103868654,0.9956638645656914,0.004335313418112441,,,,,,,
AfricanAmerican,Hispanic,0.4627512127512127,0.47750865051903113,0.9690949310514527,0.014757437767818404,1.0,0.0,,,,,,,
AfricanAmerican,Asian,0.4627512127512127,0.42857142857142855,0.9261378830828475,0.03417978417978418,1.0,0.0,,,,,,,
AfricanAmerican,Other,0.4627512127512127,0.5128205128205128,0.9023648648648649,0.05006930006930005,0.995475113122172,0.004524886877828038,,,,,,,
Hispanic,Asian,0.47750865051903113,0.42857142857142855,0.8975155279503105,0.04893722194760258,1.0,0.0,,,,,,,
Hispanic,Other,0.47750865051903113,0.5128205128205128,0.9311418685121108,0.035311862301481645,0.995475113122172,0.004524886877828038,,,,,,,
Asian,Other,0.42857142857142855,0.5128205128205128,0.8357142857142857,0.08424908424908423,0.995475113122172,0.004524886877828038,,,,,,,
,,,,,,,,Caucasian,0.4606717037166441,0.46809904362635923,0.9841329735430016,0.007427339909715114,0.9999097578071433,9.022508533196305e-05
,,,,,,,,AfricanAmerican,0.4627512127512127,0.462476775183779,0.9994069436019366,0.0002744375674337274,0.9997380598969702,0.00026194010302982296
,,,,,,,,Hispanic,0.47750865051903113,0.4622395833333333,0.9680234752415459,0.015269067185697816,0.9997833622183708,0.0002166377816291698
,,,,,,,,Asian,0.42857142857142855,0.46273230525899567,0.9261757255775627,0.03416087668756712,0.9997864160615122,0.00021358393848780466
,,,,,,,,Other,0.5128205128205128,0.46181189993687916,0.9005332048769145,0.05100861288363362,0.9956183366475474,0.004381033033334036
