Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.4606717037166441,0.4627512127512127,0.9955062051113702,0.002079509034568605,0.9963458360906563,0.0021773879175097655,,,,,,,
Caucasian,Hispanic,0.4606717037166441,0.47750865051903113,0.9647400172036967,0.01683694680238701,0.9607241628310236,0.02435984507558986,,,,,,,
Caucasian,Asian,0.4606717037166441,0.42857142857142855,0.9303185437997724,0.03210027514521557,0.97688180259114,0.013775321786727801,,,,,,,
Caucasian,Other,0.4606717037166441,0.5128205128205128,0.8983098222474561,0.052148809103868654,0.8992142644385328,0.06678572838410479,,,,,,,
AfricanAmerican,Hispanic,0.4627512127512127,0.47750865051903113,0.9690949310514527,0.014757437767818404,0.957213519268372,0.026537232993099624,,,,,,,
AfricanAmerican,Asian,0.4627512127512127,0.42857142857142855,0.9261378830828475,0.03417978417978418,0.9804645808769704,0.011597933869218036,,,,,,,
AfricanAmerican,Other,0.4627512127512127,0.5128205128205128,0.9023648648648649,0.05006930006930005,0.8959283881266544,0.06896311630161456,,,,,,,
Hispanic,Asian,0.47750865051903113,0.42857142857142855,0.8975155279503105,0.04893722194760258,0.9385139519792343,0.03813516686231766,,,,,,,
Hispanic,Other,0.47750865051903113,0.5128205128205128,0.9311418685121108,0.035311862301481645,0.9359754851889683,0.04242588330851493,,,,,,,
Asian,Other,0.42857142857142855,0.5128205128205128,0.8357142857142857,0.08424908424908423,0.8784260515603799,0.0805610501708326,,,,,,,
,,,,,,,,Caucasian,0.4606717037166441,0.46809904362635923,0.9841329735430016,0.007427339909715114,0.9929413545894284,0.004235898564321827
,,,,,,,,AfricanAmerican,0.4627512127512127,0.462476775183779,0.9994069436019366,0.0002744375674337274,0.9932987922595123,0.004005263278623161
,,,,,,,,Hispanic,0.47750865051903113,0.4622395833333333,0.9680234752415459,0.015269067185697816,0.96172307732653,0.023740293613208396
,,,,,,,,Asian,0.42857142857142855,0.46273230525899567,0.9261757255775627,0.03416087668756712,0.9749989637371783,0.014926007662562912
,,,,,,,,Other,0.5128205128205128,0.46181189993687916,0.9005332048769145,0.05100861288363362,0.8994114528928455,0.06665506133606625
