Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.4593614884045945,0.46188496188496186,0.9945365757956938,0.0025234734803673553,0.9988366048858186,0.0011612172873110005,,,,,,,
Caucasian,Hispanic,0.4593614884045945,0.47750865051903113,0.9619961604994769,0.01814716211443662,0.9969668246445498,0.003033175355450224,,,,,,,
Caucasian,Asian,0.4593614884045945,0.42857142857142855,0.932972047917855,0.03079005983316596,0.9969668246445498,0.003033175355450224,,,,,,,
Caucasian,Other,0.4593614884045945,0.5151515151515151,0.8917017127853893,0.05579002674692063,0.9969668246445498,0.003033175355450224,,,,,,,
AfricanAmerican,Hispanic,0.46188496188496186,0.47750865051903113,0.9672808259764781,0.015623688634069266,0.9981280419318608,0.0018719580681392234,,,,,,,
AfricanAmerican,Asian,0.46188496188496186,0.42857142857142855,0.9278748258493195,0.03331353331353332,0.9981280419318608,0.0018719580681392234,,,,,,,
AfricanAmerican,Other,0.46188496188496186,0.5151515151515151,0.8966002201296319,0.053266553266553274,0.9981280419318608,0.0018719580681392234,,,,,,,
Hispanic,Asian,0.47750865051903113,0.42857142857142855,0.8975155279503105,0.04893722194760258,1.0,0.0,,,,,,,
Hispanic,Other,0.47750865051903113,0.5151515151515151,0.926928556889884,0.03764286463248401,1.0,0.0,,,,,,,
Asian,Other,0.42857142857142855,0.5151515151515151,0.8319327731092436,0.08658008658008659,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.4593614884045945,0.46718197301192194,0.9832603031386062,0.007820484607327427,0.9992034299718511,0.0007947869950697406
,,,,,,,,AfricanAmerican,0.46188496188496186,0.4611842636723483,0.9984829594586626,0.0007006982126135375,0.9988137696259392,0.0011840098005414523
,,,,,,,,Hispanic,0.47750865051903113,0.46100427350427353,0.9654364858169207,0.0165043770147576,0.9971114962449451,0.002888503755054894
,,,,,,,,Asian,0.42857142857142855,0.46151311453802557,0.9286224271230696,0.03294168596659702,0.9971522141534956,0.002847785846504358
,,,,,,,,Other,0.5151515151515151,0.46054948340586693,0.8940078207290358,0.054602031745648205,0.9971229231101201,0.002877076889879926
