Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.7725466218281871,0.7792792792792793,0.99136040488935,0.006732657451092194,0.9994877774673727,0.0005121086800972119,,,,,,,
Caucasian,Hispanic,0.7725466218281871,0.7698961937716263,0.9965692322227897,0.002650428056560794,0.9992656197039882,0.0007343802960118051,,,,,,,
Caucasian,Asian,0.7725466218281871,0.7362637362637363,0.9530346977913262,0.036282885564450806,0.9992656197039882,0.0007343802960118051,,,,,,,
Caucasian,Other,0.7725466218281871,0.7738927738927739,0.9982605444707598,0.0013461520645867697,0.9992656197039882,0.0007343802960118051,,,,,,,
AfricanAmerican,Hispanic,0.7792792792792793,0.7698961937716263,0.9879592775566534,0.009383085507652988,0.9997777283840854,0.0002222716159145932,,,,,,,
AfricanAmerican,Asian,0.7792792792792793,0.7362637362637363,0.9448008638760084,0.043015543015543,0.9997777283840854,0.0002222716159145932,,,,,,,
AfricanAmerican,Other,0.7792792792792793,0.7738927738927739,0.9930878370184728,0.005386505386505425,0.9997777283840854,0.0002222716159145932,,,,,,,
Hispanic,Asian,0.7698961937716263,0.7362637362637363,0.9563155945178418,0.03363245750789001,1.0,0.0,,,,,,,
Hispanic,Other,0.7698961937716263,0.7738927738927739,0.9948357443615292,0.003996580121147564,1.0,0.0,,,,,,,
Asian,Other,0.7362637362637363,0.7738927738927739,0.9513769363166954,0.037629037629037576,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.7725466218281871,0.7797720424472684,0.9907339321933052,0.007225420619081269,0.9996013944417919,0.0003984716631599827
,,,,,,,,AfricanAmerican,0.7792792792792793,0.7732046207286534,0.992204773420584,0.006074658550625944,0.9994913551969168,0.0005085317457809158
,,,,,,,,Hispanic,0.7698961937716263,0.7744391025641025,0.994133936706663,0.004542908792476208,0.9993537546852785,0.0006462453147214609
,,,,,,,,Asian,0.7362637362637363,0.7745815210228022,0.9505309851589683,0.03831778475906589,0.9993622991242241,0.0006377008757758595
,,,,,,,,Other,0.7738927738927739,0.7743596558253879,0.999397073531528,0.0004668819326140161,0.9993568856113874,0.0006431143886126423
