Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.4595361837795344,0.46188496188496186,0.9949147984904249,0.0023487781054274404,0.9992164628834934,0.0007820703678796948,,,,,,,
Caucasian,Hispanic,0.4595361837795344,0.47750865051903113,0.9623620080600395,0.017972466739496706,0.9973459715639811,0.002654028436018918,,,,,,,
Caucasian,Asian,0.4595361837795344,0.42857142857142855,0.9326173731229804,0.030964755208105876,0.9973459715639811,0.002654028436018918,,,,,,,
Caucasian,Other,0.4595361837795344,0.5151515151515151,0.8920408273367433,0.055615331371980714,0.9973459715639811,0.002654028436018918,,,,,,,
AfricanAmerican,Hispanic,0.46188496188496186,0.47750865051903113,0.9672808259764781,0.015623688634069266,0.9981280419318608,0.0018719580681392234,,,,,,,
AfricanAmerican,Asian,0.46188496188496186,0.42857142857142855,0.9278748258493195,0.03331353331353332,0.9981280419318608,0.0018719580681392234,,,,,,,
AfricanAmerican,Other,0.46188496188496186,0.5151515151515151,0.8966002201296319,0.053266553266553274,0.9981280419318608,0.0018719580681392234,,,,,,,
Hispanic,Asian,0.47750865051903113,0.42857142857142855,0.8975155279503105,0.04893722194760258,1.0,0.0,,,,,,,
Hispanic,Other,0.47750865051903113,0.5151515151515151,0.926928556889884,0.03764286463248401,1.0,0.0,,,,,,,
Asian,Other,0.42857142857142855,0.5151515151515151,0.8319327731092436,0.08658008658008659,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.4595361837795344,0.46718197301192194,0.9836342374619143,0.007645789232387512,0.9995834274732665,0.00041564007563843486
,,,,,,,,AfricanAmerican,0.46188496188496186,0.4613458276112772,0.9988327520526227,0.0005391342736846827,0.9991636781106565,0.0008347563298350957
,,,,,,,,Hispanic,0.47750865051903113,0.46113782051282054,0.9657161603493126,0.01637083000621059,0.9974003466204506,0.0025996533795493715
,,,,,,,,Asian,0.42857142857142855,0.4616449189402926,0.928357295809116,0.033073490368864034,0.9974369927381461,0.002563007261853878
,,,,,,,,Other,0.5151515151515151,0.4606823693564998,0.8942657758096761,0.05446914579501533,0.9974106307991081,0.0025893692008919222
