Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.7726339695156571,0.7792792792792793,0.991472492673271,0.006645309763622209,0.9996007841695569,0.000399127096095353,,,,,,,
Caucasian,Hispanic,0.7726339695156571,0.7698961937716263,0.9964565682431139,0.0027377757440307793,0.99937860128799,0.0006213987120099462,,,,,,,
Caucasian,Asian,0.7726339695156571,0.7362637362637363,0.9529269554706218,0.03637023325192079,0.99937860128799,0.0006213987120099462,,,,,,,
Caucasian,Other,0.7726339695156571,0.7738927738927739,0.9983734124163159,0.0012588043771167845,0.99937860128799,0.0006213987120099462,,,,,,,
AfricanAmerican,Hispanic,0.7792792792792793,0.7698961937716263,0.9879592775566534,0.009383085507652988,0.9997777283840854,0.0002222716159145932,,,,,,,
AfricanAmerican,Asian,0.7792792792792793,0.7362637362637363,0.9448008638760084,0.043015543015543,0.9997777283840854,0.0002222716159145932,,,,,,,
AfricanAmerican,Other,0.7792792792792793,0.7738927738927739,0.9930878370184728,0.005386505386505425,0.9997777283840854,0.0002222716159145932,,,,,,,
Hispanic,Asian,0.7698961937716263,0.7362637362637363,0.9563155945178418,0.03363245750789001,1.0,0.0,,,,,,,
Hispanic,Other,0.7698961937716263,0.7738927738927739,0.9948357443615292,0.003996580121147564,1.0,0.0,,,,,,,
Asian,Other,0.7362637362637363,0.7738927738927739,0.9513769363166954,0.037629037629037576,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.7726339695156571,0.7797720424472684,0.9908459491453312,0.007138072931611283,0.9997144139900357,0.00028549007915812386
,,,,,,,,AfricanAmerican,0.7792792792792793,0.7732854026981177,0.9923084358322667,0.005993876581161572,0.9995957788875816,0.0004041312655386209
,,,,,,,,Hispanic,0.7698961937716263,0.7745058760683761,0.994048228116551,0.00460968229674974,0.9994399207272414,0.0005600792727585846
,,,,,,,,Asian,0.7362637362637363,0.7746474232239356,0.9504501198745957,0.03838368696019934,0.9994473259076609,0.0005526740923390561
,,,,,,,,Other,0.7738927738927739,0.7744260988007043,0.9993113288553209,0.0005333249079304547,0.9994426341965358,0.0005573658034642159
