Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.46062802987290913,0.4627512127512127,0.9954118264419437,0.0021231828783035978,0.9997156398104265,0.00028436018957345155,,,,,,,
Caucasian,Hispanic,0.46062802987290913,0.47750865051903113,0.9646485553135561,0.016880620646122002,0.9997156398104265,0.00028436018957345155,,,,,,,
Caucasian,Asian,0.46062802987290913,0.42857142857142855,0.930406750734806,0.03205660130148058,0.9997156398104265,0.00028436018957345155,,,,,,,
Caucasian,Other,0.46062802987290913,0.5151515151515151,0.894160293282706,0.05452348527860601,0.9997156398104265,0.00028436018957345155,,,,,,,
AfricanAmerican,Hispanic,0.4627512127512127,0.47750865051903113,0.9690949310514527,0.014757437767818404,1.0,0.0,,,,,,,
AfricanAmerican,Asian,0.4627512127512127,0.42857142857142855,0.9261378830828475,0.03417978417978418,1.0,0.0,,,,,,,
AfricanAmerican,Other,0.4627512127512127,0.5151515151515151,0.8982817659288247,0.05240030240030241,1.0,0.0,,,,,,,
Hispanic,Asian,0.47750865051903113,0.42857142857142855,0.8975155279503105,0.04893722194760258,1.0,0.0,,,,,,,
Hispanic,Other,0.47750865051903113,0.5151515151515151,0.926928556889884,0.03764286463248401,1.0,0.0,,,,,,,
Asian,Other,0.42857142857142855,0.5151515151515151,0.8319327731092436,0.08658008658008659,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.46062802987290913,0.468230053714136,0.983764340240603,0.007602023841226879,0.9997156398104265,0.00028436018957345155
,,,,,,,,AfricanAmerican,0.4627512127512127,0.462476775183779,0.9994069436019366,0.0002744375674337274,0.9997380598969702,0.00026194010302982296
,,,,,,,,Hispanic,0.47750865051903113,0.4622395833333333,0.9680234752415459,0.015269067185697816,0.9997833622183708,0.0002166377816291698
,,,,,,,,Asian,0.42857142857142855,0.46273230525899567,0.9261757255775627,0.03416087668756712,0.9997864160615122,0.00021358393848780466
,,,,,,,,Other,0.5151515151515151,0.46177867844922094,0.8963939052249583,0.0533728367022942,0.999784219233259,0.00021578076674100277
