Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
[70-80),[50-60),0.44642402646983964,0.4764177964483483,0.9370431369228658,0.029993769978508666,0.0,0.01466344135319475,,,,,,,
[70-80),[60-70),0.44642402646983964,0.4855525767053917,0.9194143907111973,0.03912855023555206,0.0,0.01565122544549924,,,,,,,
[70-80),[30-40),0.44642402646983964,0.44641275465013286,0.9999747508668028,1.1271819706781816e-05,0.0,0.016264722378014573,,,,,,,
[70-80),[80-90),0.44642402646983964,0.42823984526112185,0.9592670194019087,0.018184181208717787,0.9855125771298842,0.014461295867644886,,,,,,,
[70-80),[40-50),0.44642402646983964,0.49770723104056436,0.8969611020850429,0.051283204570724716,0.9858268480208983,0.014143081642512434,,,,,,,
[70-80),[90-100),0.44642402646983964,0.37985436893203883,0.8508824489931475,0.06656965753780081,0.9900211260412952,0.009915516028808247,,,,,,,
[70-80),[20-30),0.44642402646983964,0.5048923679060665,0.8841964245197212,0.05846834143622687,0.9837352776219854,0.016264722378014573,,,,,,,
[70-80),[10-20),0.44642402646983964,0.42028985507246375,0.9414588600796523,0.026134171397375894,0.9837352776219854,0.016264722378014573,,,,,,,
[70-80),[0-10),0.44642402646983964,0.1111111111111111,0.24889142277967818,0.33531291535872854,0.9837352776219854,0.016264722378014573,,,,,,,
[50-60),[60-70),0.4764177964483483,0.4855525767053917,0.9811868359982241,0.009134780257043396,0.6305220883534137,0.000987784092304489,,,,,,,
[50-60),[30-40),0.4764177964483483,0.44641275465013286,0.9370194773958901,0.030005041798215448,0.2285505658999635,0.0016012810248198228,,,,,,,
[50-60),[80-90),0.4764177964483483,0.42823984526112185,0.898874577007012,0.04817795118722645,0.0,0.0003650967506389193,,,,,,,
[50-60),[40-50),0.4764177964483483,0.49770723104056436,0.9572249843593674,0.02128943459221605,0.0,0.0005203597106823166,,,,,,,
[50-60),[90-100),0.4764177964483483,0.37985436893203883,0.7973135591571492,0.09656342751630947,0.0,0.004747925324386504,,,,,,,
[50-60),[20-30),0.4764177964483483,0.5048923679060665,0.9436026898647519,0.0284745714577182,0.0,0.0016012810248198228,,,,,,,
[50-60),[10-20),0.4764177964483483,0.42028985507246375,0.8821875635328628,0.05612794137588456,0.0,0.0016012810248198228,,,,,,,
[50-60),[0-10),0.4764177964483483,0.1111111111111111,0.23322199955466485,0.3653066853372372,0.0,0.0016012810248198228,,,,,,,
[60-70),[30-40),0.4855525767053917,0.44641275465013286,0.9193911762947828,0.039139822055258844,0.362478286045165,0.0010184052938575637,,,,,,,
[60-70),[80-90),0.4855525767053917,0.42823984526112185,0.8819639021727522,0.05731273144426985,0.0,0.001189929577854354,,,,,,,
[60-70),[40-50),0.4855525767053917,0.49770723104056436,0.9755787065625695,0.012154654335172654,0.0,0.0015081438029868055,,,,,,,
[60-70),[90-100),0.4855525767053917,0.37985436893203883,0.7823135684078861,0.10569820777335287,0.0,0.005735709416690993,,,,,,,
[60-70),[20-30),0.4855525767053917,0.5048923679060665,0.9616952197537022,0.019339791200674805,0.0,0.0006134969325153339,,,,,,,
[60-70),[10-20),0.4855525767053917,0.42028985507246375,0.8655908242197919,0.06526272163292796,0.0,0.0006134969325153339,,,,,,,
[60-70),[0-10),0.4855525767053917,0.1111111111111111,0.22883435582822084,0.3744414655942806,0.0,0.0006134969325153339,,,,,,,
[30-40),[80-90),0.44641275465013286,0.42823984526112185,0.9592912406742194,0.018172909389011005,0.0,0.0018034265103696878,,,,,,,
[30-40),[40-50),0.44641275465013286,0.49770723104056436,0.8969384545947036,0.0512944763904315,0.0,0.0021216407355021394,,,,,,,
