Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
[70-80),[50-60),0.7748791040977347,0.7832728661447393,0.9892837318770934,0.008393762047004594,0.9983560792706343,0.0016431195984060176,,,,,,,
[70-80),[60-70),0.7748791040977347,0.7908847184986595,0.9797623926388308,0.01600561440092474,0.9980574736695264,0.001942160575186369,,,,,,,
[70-80),[30-40),0.7748791040977347,0.7484499557130204,0.9658925524705066,0.02642914838471433,0.9978695509668961,0.0021304490331038872,,,,,,,
[70-80),[80-90),0.7748791040977347,0.7566731141199227,0.9765047348915015,0.018205989977812087,0.9978695509668961,0.0021304490331038872,,,,,,,
[70-80),[40-50),0.7748791040977347,0.7700176366843033,0.9937261601355323,0.004861467413431408,0.9978695509668961,0.0021304490331038872,,,,,,,
[70-80),[90-100),0.7748791040977347,0.7002427184466019,0.9036799608397763,0.07463638565113284,0.9978695509668961,0.0021304490331038872,,,,,,,
[70-80),[20-30),0.7748791040977347,0.7808219178082192,0.9923890280549936,0.00594281371048444,0.9978695509668961,0.0021304490331038872,,,,,,,
[70-80),[10-20),0.7748791040977347,0.8985507246376812,0.8623654545603823,0.1236716205399464,0.9978695509668961,0.0021304490331038872,,,,,,,
[70-80),[0-10),0.7748791040977347,0.8222222222222222,0.9424205320107585,0.04734311812448744,0.9978695509668961,0.0021304490331038872,,,,,,,
[50-60),[60-70),0.7832728661447393,0.7908847184986595,0.9903755222779247,0.0076118523539201455,0.9997009027066515,0.00029904097678035146,,,,,,,
[50-60),[30-40),0.7832728661447393,0.7484499557130204,0.9555417889003139,0.03482291043171892,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[80-90),0.7832728661447393,0.7566731141199227,0.9660402483291163,0.02659975202481668,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[40-50),0.7832728661447393,0.7700176366843033,0.9830771241627735,0.013255229460436002,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[90-100),0.7832728661447393,0.7002427184466019,0.8939958840821195,0.08303014769813744,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[20-30),0.7832728661447393,0.7808219178082192,0.9968708882402838,0.0024509483365201534,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[10-20),0.7832728661447393,0.8985507246376812,0.8717068994191454,0.11527785849294181,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[0-10),0.7832728661447393,0.8222222222222222,0.9526291615273857,0.038949356077482844,0.9995126705653021,0.0004873294346978696,,,,,,,
[60-70),[30-40),0.7908847184986595,0.7484499557130204,0.946345198240531,0.04243476278563907,0.9998117115420825,0.00018828845791751814,,,,,,,
[60-70),[80-90),0.7908847184986595,0.7566731141199227,0.9567426154804446,0.034211604378736826,0.9998117115420825,0.00018828845791751814,,,,,,,
[60-70),[40-50),0.7908847184986595,0.7700176366843033,0.973615520282187,0.020867081814356148,0.9998117115420825,0.00018828845791751814,,,,,,,
[60-70),[90-100),0.7908847184986595,0.7002427184466019,0.8853916406121441,0.09064200005205758,0.9998117115420825,0.00018828845791751814,,,,,,,
[60-70),[20-30),0.7908847184986595,0.7808219178082192,0.9872765265846297,0.010062800690440299,0.9998117115420825,0.00018828845791751814,,,,,,,
[60-70),[10-20),0.7908847184986595,0.8985507246376812,0.8801781544581856,0.10766600613902166,0.9998117115420825,0.00018828845791751814,,,,,,,
[60-70),[0-10),0.7908847184986595,0.8222222222222222,0.961886819795667,0.0313375037235627,0.9998117115420825,0.00018828845791751814,,,,,,,
[30-40),[80-90),0.7484499557130204,0.7566731141199227,0.9891324823712463,0.008223158406902242,1.0,0.0,,,,,,,
[30-40),[40-50),0.7484499557130204,0.7700176366843033,0.9719906662603816,0.02156768097128292,1.0,0.0,,,,,,,
[30-40),[90-100),0.7484499557130204,0.7002427184466019,0.9355905670132704,0.04820723726641851,1.0,0.0,,,,,,,
[30-40),[20-30),0.7484499557130204,0.7808219178082192,0.958541171351763,0.03237196209519877,1.0,0.0,,,,,,,
[30-40),[10-20),0.7484499557130204,0.8985507246376812,0.8329523700677163,0.15010076892466073,1.0,0.0,,,,,,,
[30-40),[0-10),0.7484499557130204,0.8222222222222222,0.9102769731644843,0.07377226650920177,1.0,0.0,,,,,,,
[80-90),[40-50),0.7566731141199227,0.7700176366843033,0.9826698481584887,0.013344522564380679,1.0,0.0,,,,,,,
[80-90),[90-100),0.7566731141199227,0.7002427184466019,0.925423020032958,0.056430395673320755,1.0,0.0,,,,,,,
[80-90),[20-30),0.7566731141199227,0.7808219178082192,0.9690725847500764,0.024148803688296527,1.0,0.0,,,,,,,
[80-90),[10-20),0.7566731141199227,0.8985507246376812,0.8421039495850752,0.1418776105177585,1.0,0.0,,,,,,,
[80-90),[0-10),0.7566731141199227,0.8222222222222222,0.9202781117674735,0.06554910810229952,1.0,0.0,,,,,,,
[40-50),[90-100),0.7700176366843033,0.7002427184466019,0.9093852985781569,0.06977491823770143,1.0,0.0,,,,,,,
[40-50),[20-30),0.7700176366843033,0.7808219178082192,0.9861629382097218,0.010804281123915849,1.0,0.0,,,,,,,
[40-50),[10-20),0.7700176366843033,0.8985507246376812,0.8569551117938214,0.1285330879533778,1.0,0.0,,,,,,,
[40-50),[0-10),0.7700176366843033,0.8222222222222222,0.9365079365079365,0.052204585537918846,1.0,0.0,,,,,,,
[90-100),[20-30),0.7002427184466019,0.7808219178082192,0.8968020780105603,0.08057919936161728,1.0,0.0,,,,,,,
[90-100),[10-20),0.7002427184466019,0.8985507246376812,0.7793023802067022,0.19830800619107924,1.0,0.0,,,,,,,
[90-100),[0-10),0.7002427184466019,0.8222222222222222,0.8516465494620834,0.12197950377562028,1.0,0.0,,,,,,,
[20-30),[10-20),0.7808219178082192,0.8985507246376812,0.8689792311091472,0.11772880682946196,1.0,0.0,,,,,,,
[20-30),[0-10),0.7808219178082192,0.8222222222222222,0.9496482784154018,0.041400304414003,1.0,0.0,,,,,,,
[10-20),[0-10),0.8985507246376812,0.8222222222222222,0.9150537634408602,0.07632850241545897,1.0,0.0,,,,,,,
,,,,,,,,[70-80),0.7748791040977347,0.7741266760762173,0.9990289736585508,0.0007524280215174262,0.9980401172396385,0.001959547814008533
,,,,,,,,[50-60),0.7832728661447393,0.7724666903886451,0.9862038170563956,0.010806175756094216,0.9997711786434464,0.0002287098451712044
,,,,,,,,[60-70),0.7908847184986595,0.769650655021834,0.9731515061801496,0.021234063476825438,0.9993705084437793,0.0006293730302263656
,,,,,,,,[30-40),0.7484499557130204,0.7753137648379307,0.9653510483842296,0.026863809124910265,0.9992985840164833,0.0007014159835166955
,,,,,,,,[80-90),0.7566731141199227,0.7779179810725552,0.9726900939822202,0.021244866952632502,0.9991896272285251,0.0008103727714748876
,,,,,,,,[40-50),0.7700176366843033,0.7747607871456942,0.9938779162031869,0.004743150461390844,0.9992548782191589,0.0007451217808410737
,,,,,,,,[90-100),0.7002427184466019,0.7763751430687403,0.9019386113764365,0.07613242462213843,0.9993067290610512,0.0006932709389487757
