Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.45438267021880596,0.4624047124047124,0.9826514696526594,0.008022042185906464,0.0,0.011966904491102492,,,,,,,
Caucasian,Hispanic,0.45438267021880596,0.47923875432525953,0.9481342360522377,0.02485608410645357,0.0,0.013838862559241716,,,,,,,
Caucasian,Asian,0.45438267021880596,0.42857142857142855,0.943194925028835,0.025811241647377414,0.9861611374407583,0.013838862559241716,,,,,,,
Caucasian,Other,0.45438267021880596,0.5151515151515151,0.8820369480717999,0.060768844932709176,0.9861611374407583,0.013838862559241716,,,,,,,
AfricanAmerican,Hispanic,0.4624047124047124,0.47923875432525953,0.9648733710105551,0.016834041920547105,0.2921638181231861,0.002343828416810642,,,,,,,
AfricanAmerican,Asian,0.4624047124047124,0.42857142857142855,0.9268318792485146,0.03383328383328388,0.0,0.0018719580681392234,,,,,,,
AfricanAmerican,Other,0.4624047124047124,0.5151515151515151,0.8976091476091477,0.05274680274680271,0.0,0.0018719580681392234,,,,,,,
Hispanic,Asian,0.47923875432525953,0.42857142857142855,0.894275399690562,0.05066732575383098,0.0,0.0033112582781456954,,,,,,,
Hispanic,Other,0.47923875432525953,0.5151515151515151,0.9302869936902097,0.03591276082625561,0.0,0.0033112582781456954,,,,,,,
Asian,Other,0.42857142857142855,0.5151515151515151,0.8319327731092436,0.08658008658008659,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.45438267021880596,0.46718197301192194,0.9726031749243258,0.012799302793115974,0.0,0.01048128001867088
,,,,,,,,AfricanAmerican,0.4624047124047124,0.45645851845868,0.9871407150781195,0.005946193946032408,0.07769009144431917,0.011486987186379194
,,,,,,,,Hispanic,0.47923875432525953,0.457164797008547,0.9539395403283039,0.022073957316712522,0.05625931445603577,0.01140958983246676
,,,,,,,,Asian,0.42857142857142855,0.45775668907341505,0.9362428530294927,0.0291852605019865,0.0,0.011248754093692193
,,,,,,,,Other,0.5151515151515151,0.45676223381283015,0.886656100930788,0.058389281338684984,0.0,0.01136445371502548
