Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.7719788618596323,0.7794525294525294,0.9904116449552784,0.0074736675928971374,0.9985312394079765,0.0014687605920234992,,,,,,,
Caucasian,Hispanic,0.7719788618596323,0.7698961937716263,0.9973021695399936,0.0020826680880059456,0.9985312394079765,0.0014687605920234992,,,,,,,
Caucasian,Asian,0.7719788618596323,0.7362637362637363,0.9537356171775724,0.03571512559589596,0.9985312394079765,0.0014687605920234992,,,,,,,
Caucasian,Other,0.7719788618596323,0.7738927738927739,0.9975269028246453,0.0019139120331416182,0.9985312394079765,0.0014687605920234992,,,,,,,
AfricanAmerican,Hispanic,0.7794525294525294,0.7698961937716263,0.9877396822515732,0.009556335680903083,1.0,0.0,,,,,,,
AfricanAmerican,Asian,0.7794525294525294,0.7362637362637363,0.9445908614612772,0.043188793188793095,1.0,0.0,,,,,,,
AfricanAmerican,Other,0.7794525294525294,0.7738927738927739,0.9928671017801937,0.005559755559755519,1.0,0.0,,,,,,,
Hispanic,Asian,0.7698961937716263,0.7362637362637363,0.9563155945178418,0.03363245750789001,1.0,0.0,,,,,,,
Hispanic,Other,0.7698961937716263,0.7738927738927739,0.9948357443615292,0.003996580121147564,1.0,0.0,,,,,,,
Asian,Other,0.7362637362637363,0.7738927738927739,0.9513769363166954,0.037629037629037576,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.7719788618596323,0.779510022271715,0.9903385970713567,0.0075311604120826825,0.9992025209134608,0.0007969433263197434
,,,,,,,,AfricanAmerican,0.7794525294525294,0.7725583649729381,0.9911551194985105,0.006894164479591347,0.9984339927963669,0.0015660072036330908
,,,,,,,,Hispanic,0.7698961937716263,0.7739383012820513,0.994777222546385,0.004042107510424997,0.9987075093705571,0.0012924906294429217
,,,,,,,,Asian,0.7362637362637363,0.7740872545143008,0.951137913678353,0.037823518250564514,0.9987245982484483,0.001275401751551719
,,,,,,,,Other,0.7738927738927739,0.7738613335105146,0.999959373722924,3.144038225932899e-05,0.9987137712227748,0.0012862287772251735
