Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.4566973839367603,0.4617117117117117,0.9891396998435198,0.0050143277749514215,0.9934163947253765,0.006568816195010041,,,,,,,
Caucasian,Hispanic,0.4566973839367603,0.4757785467128028,0.9598948651470816,0.019081162776042493,0.9947891426109436,0.0051919774709801025,,,,,,,
Caucasian,Asian,0.4566973839367603,0.42857142857142855,0.9384144592139236,0.028125955365331745,0.9911848341232228,0.00881516587677722,,,,,,,
Caucasian,Other,0.4566973839367603,0.5151515151515151,0.8865302158772406,0.058454131214754845,0.9911848341232228,0.00881516587677722,,,,,,,
AfricanAmerican,Hispanic,0.4617117117117117,0.4757785467128028,0.9704340704340704,0.014066835001091071,0.9986200614514507,0.0013768387240299385,,,,,,,
AfricanAmerican,Asian,0.4617117117117117,0.42857142857142855,0.9282229965156794,0.03314028314028317,0.9977536503182328,0.002246349681767179,,,,,,,
AfricanAmerican,Other,0.4617117117117117,0.5151515151515151,0.8962639109697933,0.053439803439803424,0.9977536503182328,0.002246349681767179,,,,,,,
Hispanic,Asian,0.4757785467128028,0.42857142857142855,0.9007792207792207,0.04720711814137424,0.9963768115942029,0.0036231884057971175,,,,,,,
Hispanic,Other,0.4757785467128028,0.5151515151515151,0.9235701200895584,0.03937296843871235,0.9963768115942029,0.0036231884057971175,,,,,,,
Asian,Other,0.42857142857142855,0.5151515151515151,0.8319327731092436,0.08658008658008659,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.4566973839367603,0.4665269225730381,0.9789303935942969,0.009829538636277835,0.9948033128773935,0.005177784791158824
,,,,,,,,AfricanAmerican,0.4617117117117117,0.45855884966475485,0.9931713622007373,0.0031528620469568613,0.9935004125679484,0.006484987085891958
,,,,,,,,Hispanic,0.4757785467128028,0.45883413461538464,0.9643859265734266,0.01694441209741815,0.9960264691980464,0.003959133951221938
,,,,,,,,Asian,0.42857142857142855,0.4593383419006195,0.9330190612830497,0.03076691332919096,0.9924533675067635,0.007546632493236505
,,,,,,,,Other,0.5151515151515151,0.45835686522042457,0.8897515618984713,0.05679464993109057,0.9923757462418183,0.007624253758181654
